artist,genres...
Mariah Carey,"['dance pop', 'pop', 'urban contemporary']"
Brenda Lee,"['adult standards', 'easy listening', 'lounge', 'rockabilly']"
Bobby Helms,['']
Burl Ives,"['adult standards', 'american folk revival']"
Adele,"['british soul', 'pop', 'pop soul', 'uk pop']"
Andy Williams,"['adult standards', 'easy listening']"
Wham!,"['new romantic', 'new wave', 'new wave pop', 'soft rock']"
Jose Feliciano,"['latin pop', 'puerto rican pop']"
The Kid LAROI & Justin Bieber,['australian hip hop']
The Ronettes,"['brill building pop', 'classic girl group', 'motown', 'rock-and-roll']"
Nat King Cole,"['adult standards', 'easy listening', 'lounge', 'soul', 'swing', 'vocal jazz']"
Dean Martin,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
Kelly Clarkson,"['dance pop', 'pop', 'talent show']"
Lil Durk Featuring Morgan Wallen,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']"
Glass Animals,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
Darlene Love,['']
Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,"['adult standards', 'easy listening']"
Ariana Grande,['pop']
Gene Autry,"['classic oklahoma country', 'cowboy western', 'traditional country', 'yodeling']"
Bing Crosby,"['adult standards', 'easy listening', 'lounge', 'swing']"
Lil Nas X & Jack Harlow,['lgbtq+ hip hop']
Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']"
Doja Cat,"['dance pop', 'pop']"
Chuck Berry,"['blues', 'blues rock', 'classic rock', 'rock', 'rock-and-roll', 'rockabilly', 'soul']"
Kodak Black,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']"
GAYLE,"['alt z', 'modern alternative pop']"
Perry Como,"['adult standards', 'easy listening']"
Elton John & Dua Lipa,['']
Michael Buble,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']"
Silk Sonic (Bruno Mars & Anderson .Paak),"['dance pop', 'pop']"
Frank Sinatra,"['adult standards', 'easy listening', 'lounge']"
Thurl Ravenscroft,['movie tunes']
Eartha Kitt With Henri Rene And His Orchestra,"['torch song', 'vocal jazz']"
Paul McCartney,"['classic rock', 'mellow gold', 'rock', 'soft rock']"
Vince Guaraldi Trio,['jazz trio']
Olivia Rodrigo,['pop']
Justin Bieber,"['canadian pop', 'pop']"
