title,artist,debut
Poor Little Fool,Ricky Nelson,1958-08-04
Patricia,Perez Prado And His Orchestra,1958-08-04
Splish Splash,Bobby Darin,1958-08-04
Hard Headed Woman,Elvis Presley With The Jordanaires,1958-08-04
When,Kalin Twins,1958-08-04
Rebel-'rouser,Duane Eddy His Twangy Guitar And The Rebels,1958-08-04
Yakety Yak,The Coasters,1958-08-04
My True Love,Jack Scott,1958-08-04
Willie And The Hand Jive,The Johnny Otis Show,1958-08-04
Fever,Peggy Lee,1958-08-04
Ginger Bread,Frankie Avalon,1958-08-04
Just A Dream,Jimmy Clanton And His Rockets,1958-08-04
Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),Patti Page,1958-08-04
If Dreams Came True,Pat Boone,1958-08-04
For Your Precious Love,Jerry Butler and The Impressions,1958-08-04
One Summer Night,The Danleers,1958-08-04
Endless Sleep,Jody Reynolds,1958-08-04
Little Star,The Elegants,1958-08-04
Everybody Loves A Lover,Doris Day,1958-08-04
Do You Want To Dance,Bobby Freeman,1958-08-04
Guess Things Happen That Way,Johnny Cash And The Tennessee Two,1958-08-04
A Certain Smile,Johnny Mathis,1958-08-04
Western Movies,The Olympics,1958-08-04
The Purple People Eater,Sheb Wooley,1958-08-04
What Am I Living For,Chuck Willis,1958-08-04
Born Too Late,Poni-Tails,1958-08-04
Think It Over,The Crickets,1958-08-04
Secretly,Jimmie Rodgers,1958-08-04
Enchanted Island,The Four Lads,1958-08-04
Angel Baby,Dean Martin,1958-08-04
Chantilly Lace,Big Bopper,1958-08-04
Blue Blue Day,Don Gibson,1958-08-04
The Freeze,Tony And Joe,1958-08-04
Don't Ask Me Why,Elvis Presley With The Jordanaires,1958-08-04
Rock-in Robin,Bobby Day,1958-08-04
"No Chemise, Please",Gerry Granahan,1958-08-04
Moon Talk,Perry Como,1958-08-04
Somebody Touched Me,Buddy Knox with the Rhythm Orchids,1958-08-04
That's How Much I Love You,Pat Boone,1958-08-04
Crazy Eyes For You,Bobby Hamilton,1958-08-04
Early In The Morning,Buddy Holly,1958-08-04
You Cheated,The Slades,1958-08-04
Come What May,Clyde McPhatter,1958-08-04
Jennie Lee,Jan & Arnie,1958-08-04
Kathy-O,The Diamonds,1958-08-04
(It's Been A Long Time) Pretty Baby,Gino & Gina,1958-08-04
I Wonder Why,Dion & The Belmonts,1958-08-04
Return To Me,Dean Martin,1958-08-04
All I Have To Do Is Dream,The Everly Brothers,1958-08-04
By The Light Of The Silvery Moon,Jimmy Bowen with the Rhythm Orchids,1958-08-04
"Baubles, Bangles And Beads",The Kirby Stone Four,1958-08-04
Early In The Morning,The Rinky-Dinks,1958-08-04
Come Closer To Me (Acercate Mas),Nat King Cole,1958-08-04
Nel Blu Dipinto Di Blu (Volaré),Domenico Modugno,1958-08-04
Let's Go Steady For The Summer,The Three G's,1958-08-04
Leroy,Jack Scott,1958-08-04
You Need Hands,Eydie Gorme,1958-08-04
Fool's Paradise,The Crickets,1958-08-04
Young And Warm And Wonderful,Tony Bennett,1958-08-04
Over And Over,Bobby Day,1958-08-04
Itchy Twitchy Feeling,Bobby Hendricks,1958-08-04
For Your Love,Ed Townsend,1958-08-04
Padre,Toni Arden,1958-08-04
High School Confidential,Jerry Lee Lewis And His Pumping Piano,1958-08-04
You're Making A Mistake,The Platters,1958-08-04
Delicious!,Jim Backus & Friend,1958-08-04
Big Man,The Four Preps,1958-08-04
Volare (Nel Blu Dipinto Di Blu),Dean Martin,1958-08-04
Op,The Honeycones,1958-08-04
Don't Go Home,The Playmates,1958-08-04
Got A Match?,Frank Gallup,1958-08-04
Stupid Cupid,Connie Francis,1958-08-04
Hey Girl - Hey Boy,Oscar McLollie and Jeanette Baker,1958-08-04
Win Your Love For Me,Sam Cooke,1958-08-04
Gotta Have Rain,Eydie Gorme,1958-08-04
Midnight,Paul Anka,1958-08-04
Happy Years,The Diamonds,1958-08-04
Betty Lou Got A New Pair Of Shoes,Bobby Freeman,1958-08-04
The Bird On My Head,David Seville,1958-08-04
Johnny B. Goode,Chuck Berry,1958-08-04
Beautiful Delilah,Chuck Berry,1958-08-04
Blip Blop,Bill Doggett,1958-08-04
Try The Impossible,Lee Andrews And The Hearts,1958-08-04
Summertime Blues,Eddie Cochran,1958-08-04
Got A Match?,The Daddy-O's,1958-08-04
To Be Loved,Jackie Wilson,1958-08-04
Jealousy,Kitty Wells,1958-08-04
Just Like In The Movies,The Upbeats,1958-08-04
Blue Boy,Jim Reeves,1958-08-04
Stay,The Ames Brothers,1958-08-04
The Purple People Eater Meets The Witch Doctor,Joe South,1958-08-04
Bird Dog,The Everly Brothers,1958-08-04
Are You Really Mine,Jimmie Rodgers,1958-08-04
She Was Only Seventeen (He Was One Year More),Marty Robbins,1958-08-04
Little Mary,Fats Domino,1958-08-04
Over And Over,Thurston Harris,1958-08-04
I Believe In You,Robert & Johnny,1958-08-04
Little Serenade,The Ames Brothers,1958-08-04
I'll Get By (As Long As I Have You),Billy Williams,1958-08-04
Judy,Frankie Vaughan,1958-08-04
Susie Darlin',Robin Luke,1958-08-11
Devoted To You,The Everly Brothers,1958-08-11
Alone With You,Faron Young,1958-08-11
Drip Drop,The Drifters,1958-08-11
Lean Jean,Bill Haley And His Comets,1958-08-11
Tears On My Pillow,Little Anthony And The Imperials,1958-08-11
Just Married,Marty Robbins,1958-08-11
Harvey's Got A Girl Friend,Royal Teens,1958-08-11
Looking Back,Nat King Cole,1958-08-11
You're A Sweetheart,Little Willie John,1958-08-11
The Wizard,Jimmie Rodgers,1958-08-11
Moonlight Bay,The Drifters,1958-08-11
Come In Stranger,Johnny Cash And The Tennessee Two,1958-08-11
Cerveza,Boots Brown And His Blockbusters,1958-08-11
La Paloma,Billy Vaughn And His Orchestra,1958-08-11
Midnighter,The Champs,1958-08-11
Chariot Rock,The Champs,1958-08-11
Down In Virginia,Jimmy Reed,1958-08-11
Sunday Barbecue,Tennessee Ernie Ford,1958-08-11
Nothing In The World,Nat King Cole,1958-08-11
How The Time Flies,Jerry Wallace,1958-08-18
Borrowed Dreams,Bobby Helms,1958-08-18
Near You,Roger Williams,1958-08-18
Lazy Summer Night,The Four Preps,1958-08-18
