title,artist,uri
All I Want For Christmas Is You,Mariah Carey,spotify:track:0bYg9bo50gSsH3LtXe2SQn
Rockin' Around The Christmas Tree,Brenda Lee,spotify:track:2EjXfH91m7f8HiJN1yQg97
Jingle Bell Rock,Bobby Helms,spotify:track:7vQbuQcyTflfCIOu3Uzzya
A Holly Jolly Christmas,Burl Ives,spotify:track:77khP2fIVhSW23NwxrRluh
Easy On Me,Adele,spotify:track:0gplL1WMoJ6iYaPgMCL0gX
It's The Most Wonderful Time Of The Year,Andy Williams,spotify:track:5hslUAKq9I9CG2bAulFkHN
Last Christmas,Wham!,spotify:track:2FRnf9qhLbvw8fu4IBXx78
Feliz Navidad,Jose Feliciano,spotify:track:0oPdaY4dXtc3ZsaG17V972
Stay,The Kid LAROI & Justin Bieber,spotify:track:5HCyWlXZPP0y6Gqq8TgA20
Sleigh Ride,The Ronettes,spotify:track:5ASM6Qjiav2xPe7gRkQMsQ
The Christmas Song (Merry Christmas To You),Nat King Cole,spotify:track:4PS1e8f2LvuTFgUs1Cn3ON
"Let It Snow, Let It Snow, Let It Snow",Dean Martin,spotify:track:2uFaJJtFpPDc5Pa95XzTvg
Underneath The Tree,Kelly Clarkson,spotify:track:3YZE5qDV7u1ZD1gZc47ZeR
Broadway Girls,Lil Durk Featuring Morgan Wallen,spotify:track:3DZ8dbKg4OTSSqGARvecYd
Heat Waves,Glass Animals,spotify:track:3USxtqRwSYz57Ewm6wWRMp
Christmas (Baby Please Come Home),Darlene Love,spotify:track:46pF1zFimM582ss1PrMy68
It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,spotify:track:2pXpURmn6zC5ZYDMms6fwa
Santa Tell Me,Ariana Grande,spotify:track:0lizgQ7Qw35od7CYaoMBZb
Rudolph The Red-Nosed Reindeer,Gene Autry,spotify:track:1dtIaSlyrLI04sqYa8nLyN
Happy Holiday / The Holiday Season,Andy Williams,spotify:track:3sDdyBHQ60Cs1opmIyRvhp
White Christmas,Bing Crosby,spotify:track:3XsaSIPWvM61RIFfeb0BBR
Industry Baby,Lil Nas X & Jack Harlow,spotify:track:27NovPIUIRrOZoCHxABJwK
Shivers,Ed Sheeran,spotify:track:50nfwKoDiSYg8zOCREWAm5
Need To Know,Doja Cat,spotify:track:3Vi5XqYrmQgOYBajMWSvCi
Run Rudolph Run,Chuck Berry,spotify:track:2pnPe4pJtq7689i5ydzvJJ
Super Gremlin,Kodak Black,spotify:track:4A8cWXxKfIL3lAyUDzXbCF
abcdefu,GAYLE,spotify:track:4fouWK6XVHhzl78KzQ1UjL
(There's No Place Like) Home For The Holidays,Perry Como,spotify:track:5mKxNjNnRFpO9Muzw3Ug0u
Cold Heart (PNAU Remix),Elton John & Dua Lipa,
It's Beginning To Look A Lot Like Christmas,Michael Buble,spotify:track:5a1iz510sv2W9Dt1MvFd5R
Bad Habits,Ed Sheeran,spotify:track:3rmo8F54jFF8OgYsqTxm5d
Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),spotify:track:1oERlssLrpssCAY6Yqqs6c
Jingle Bells,Frank Sinatra,spotify:track:4KV9bM7a1KDc7b7OakFZic
"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,spotify:track:6ZgigeSB0XUMqc0jjzaq6d
Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,spotify:track:59hKzj0h6ElhQv8rBqvpUz
Wonderful Christmastime,Paul McCartney,spotify:track:4UoPux0RniULIV6eFrNphL
Linus & Lucy,Vince Guaraldi Trio,spotify:track:5N96qwzTDhbf2y6FWAVz4c
Good 4 U,Olivia Rodrigo,spotify:track:4ZtFanR9U6ndgddUvNcjcG
Ghost,Justin Bieber,spotify:track:6I3mqTwhRpn34SLVafSH7G
Please Come Home For Christmas,Eagles,spotify:track:3QIoEi8Enr9uHffwInGIsC
Santa Claus Is Comin' To Town,Jackson 5,spotify:track:2QpN1ZVw8eJO5f7WcvUA1k
I Hate U,SZA,spotify:track:2aJnyNu4PQxQ2lyj5boiMG
Little Saint Nick,The Beach Boys,spotify:track:75dfH68JDisE8dDaD4KlVY
Mistletoe,Justin Bieber,spotify:track:7xapw9Oy21WpfEcib2ErSA
Fancy Like,Walker Hayes,spotify:track:58UKC45GPNTflCN6nwCUeF
Deck The Halls,Nat King Cole,spotify:track:4LJFB3CaKcRkY7KsDAnNZ1
Have Yourself A Merry Little Christmas,Michael Buble,spotify:track:37UhuyGwWHgS1dhTePiJBy
Christmastime Is Here,Vince Guaraldi Trio,spotify:track:6NQchnlpozM5o4n6WfDznd
Thats What I Want,Lil Nas X,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO
One Right Now,Post Malone & The Weeknd,spotify:track:00Blm7zeNqgYLPtW6zg8cj
Happier Than Ever,Billie Eilish,spotify:track:4RVwu0g32PAqgUiJoXsdF8
Love Nwantiti (Ah Ah Ah),CKay,spotify:track:2Xr1dTzJee307rmrkt8c0g
Knife Talk,Drake Featuring 21 Savage & Project Pat,spotify:track:2BcMwX1MPV6ZHP4tUT9uq6
Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,spotify:track:5eUpUFdFaAeovPau6lQkqK
Merry Christmas,Ed Sheeran & Elton John,spotify:track:3bH2Eu9A9ymI4UnGHRmoXg
Better Days,NEIKED X Mae Muller X Polo G,spotify:track:39d8i8QClsLa8Lm78w0UTB
Oh My God,Adele,spotify:track:3Kkjo3cT83cw09VJyrLNwX
Way 2 Sexy,Drake Featuring Future & Young Thug,spotify:track:0k1WUmIRnG3xU6fvvDVfRG
Buy Dirt,Jordan Davis Featuring Luke Bryan,spotify:track:69AIpwGNLxr4qS1X5ynx60
Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,spotify:track:07MDkzWARZaLEdKxo6yArG
You Should Probably Leave,Chris Stapleton,spotify:track:2UikqkwBv7aIvlixeVXHWt
Christmas Tree Farm (Old Timey Version),Taylor Swift,spotify:track:7r7j12XctfJqZWXsy1Zq9L
Pick Out A Christmas Tree,Dan + Shay,spotify:track:4pA2WvPVvl3VcrQXeaB4qZ
Whiskey And Rain,Michael Ray,spotify:track:1tf4Bfk8JIKryLpWYRvyiI
Girls Want Girls,Drake Featuring Lil Baby,spotify:track:37Nqx7iavZpotJSDXZWbJ3
Sand In My Boots,Morgan Wallen,spotify:track:0uRrG2jRR5tuifsYIJHEao
